NM_REGIAO,CD_UF,NM_UF,SIGLA,CD_MUN,NM_MUN,AREA_TOT,AREA_INT,PERC_INT,LAT_SEDE,LNG_SEDE,SEDE_AL,,,,
Norte,15,Pará,PA,1504059,Mãe do Rio,"469,34","469,34",100,"-2,05","-47,55",sim,,,,
Norte,15,Pará,PA,1504109,Magalhães Barata,"323,98","323,98",100,"-0,79","-47,60",sim,,,,
Norte,15,Pará,PA,1504208,Marabá,"15.128,06","15.128,06",100,"-5,35","-49,14",sim,,,,
Norte,15,Pará,PA,1504307,Maracanã,"807,63","807,63",100,"-0,76","-47,45",sim,,,,
Norte,15,Pará,PA,1504406,Marapanim,"804,63","804,62",100,"-0,72","-47,70",sim,,,,
Norte,15,Pará,PA,1504422,Marituba,"103,21","103,21",100,"-1,37","-48,34",sim,,,,
Norte,15,Pará,PA,1504455,Medicilândia,"8.272,63","8.272,63",100,"-3,44","-52,89",sim,,,,
Norte,15,Pará,PA,1504505,Melgaço,"6.774,07","6.774,07",100,"-1,80","-50,72",sim,,,,
Norte,15,Pará,PA,1504604,Mocajuba,"871,17","871,17",100,"-2,58","-49,51",sim,,,,
Norte,15,Pará,PA,1504703,Moju,"9.094,14","9.094,14",100,"-1,88","-48,77",sim,,,,
Norte,15,Pará,PA,1504752,Mojuí dos Campos,"4.988,24","4.988,24",100,"-2,68","-54,64",sim,,,,
Norte,15,Pará,PA,1504802,Monte Alegre,"18.152,56","18.152,56",100,"-2,01","-54,07",sim,,,,
